sku,product_name,category,list_price,cost,weight_g,is_vegan,season
BB001,인터갤럭틱 배쓰밤,배쓰밤,13500,4200,200,Y,all
BB002,트와일라잇 배쓰밤,배쓰밤,13500,4200,200,Y,all
BB003,더 익스피리먼터 배쓰밤,배쓰밤,16000,5100,220,Y,all
BB004,베리 베리 체리 배쓰밤,배쓰밤,11500,3700,180,Y,spring
BB005,어머 사쿠라 배쓰밤,배쓰밤,14000,4400,200,Y,spring
SB001,허니 아이 워시드 더 키즈 샴푸바,샴푸바,23000,7200,55,N,all
SB002,시앤스 샴푸바,샴푸바,23000,7100,55,Y,all
SB003,재스민 앤 헤나 풀룬덤 샴푸바,샴푸바,23000,7100,55,Y,all
MB001,씬티앙 마사지바,마사지바,21000,6800,60,Y,all
MB002,더 컴포터 마사지바,마사지바,21000,6800,60,Y,all
MB003,마사지바 틴 케이스,액세서리,9000,2400,80,Y,all
FM001,마스크 오브 매그너민티,페이스마스크,21500,6900,125,Y,all
FM002,쿠퍼톤 페이스 마스크,페이스마스크,21500,6900,125,Y,all
FM003,캐치 어 스타 페이스 마스크,페이스마스크,21500,6900,125,N,all
LP001,립 스크럽 바블검,립,14500,4800,25,N,all
LP002,립 스크럽 미스터 펭귄,립,14500,4800,25,N,winter
LP003,립 밤 허니 트랩,립,12000,3900,9,N,all
BD001,샤워젤리 위치 어메이징,샤워젤,19000,6100,240,Y,all
BD002,락 스타 솝,비누,15500,4900,120,Y,all
BD003,샌드 비누,비누,13500,4300,100,Y,summer
BD004,로션 바 더 컴포터,바디로션바,21000,6700,100,Y,all
HR001,헨 헤어 헤나 카라멜,헤어,28000,9000,330,Y,all
HR002,프로 컨디셔너 바 에이브리 후이,헤어,19000,6000,60,Y,all
GS001,기프트 세트 - 바스타임,기프트,56000,18000,800,Y,all
GS002,기프트 세트 - 핑크 클라우드,기프트,78000,25000,950,Y,all
GS003,기프트 세트 - 어머니날 한정,기프트,89000,28000,1200,Y,spring
